epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
81,3404.77,0.3049,0.17076,0.84903,0.99981,1,0.995,0.97074,0.27752,0.13033,0.81831,0.000346736,0.000346736,0.000346736
82,3443.28,0.3104,0.17267,0.84531,0.99982,1,0.995,0.96969,0.28512,0.12938,0.81942,0.000330233,0.000330233,0.000330233
83,3481.24,0.31235,0.17312,0.84638,0.99963,1,0.995,0.97027,0.27498,0.12237,0.81764,0.000313729,0.000313729,0.000313729
84,3532.73,0.31028,0.17132,0.84575,0.99981,1,0.995,0.96875,0.28036,0.13128,0.81866,0.000297226,0.000297226,0.000297226
85,3582.52,0.30704,0.16985,0.84352,0.99962,1,0.995,0.97408,0.2753,0.12945,0.81733,0.000280723,0.000280723,0.000280723
86,3629.38,0.30056,0.16738,0.84382,0.9998,1,0.995,0.96993,0.27522,0.12268,0.81757,0.00026422,0.00026422,0.00026422
87,3668.05,0.30579,0.16969,0.84537,1,1,0.995,0.96981,0.27623,0.12678,0.81737,0.000247716,0.000247716,0.000247716
88,3712.5,0.29807,0.16596,0.84296,1,1,0.995,0.9696,0.27623,0.12294,0.8178,0.000231213,0.000231213,0.000231213
89,3757.12,0.30812,0.16985,0.84783,0.99981,1,0.995,0.97393,0.27238,0.11903,0.81684,0.00021471,0.00021471,0.00021471
90,3799.95,0.30441,0.16594,0.84179,0.99964,1,0.995,0.97234,0.27448,0.11972,0.81706,0.000198206,0.000198206,0.000198206
91,3839.6,0.27392,0.13588,0.79308,0.99963,1,0.995,0.97038,0.28445,0.13405,0.81873,0.000181703,0.000181703,0.000181703
92,3876.09,0.2744,0.1349,0.79299,0.99965,1,0.995,0.97176,0.28291,0.13214,0.81842,0.0001652,0.0001652,0.0001652
93,3912.41,0.27206,0.13184,0.80226,0.99963,1,0.995,0.97425,0.27413,0.1259,0.81688,0.000148696,0.000148696,0.000148696
94,3948.73,0.27105,0.13051,0.7959,0.99962,1,0.995,0.97191,0.27742,0.12539,0.81708,0.000132193,0.000132193,0.000132193
95,3984.85,0.26812,0.1291,0.79044,1,1,0.995,0.96938,0.27654,0.12352,0.81708,0.00011569,0.00011569,0.00011569
96,4021.66,0.2692,0.12823,0.79775,1,1,0.995,0.97168,0.2767,0.12562,0.81677,9.91865e-05,9.91865e-05,9.91865e-05
97,4057.89,0.26912,0.12721,0.7911,1,1,0.995,0.97138,0.2767,0.12272,0.81667,8.26832e-05,8.26832e-05,8.26832e-05
98,4094.35,0.26603,0.12572,0.7966,1,1,0.995,0.97026,0.27462,0.11996,0.81651,6.61799e-05,6.61799e-05,6.61799e-05
99,4129.74,0.26264,0.12246,0.78954,1,1,0.995,0.97269,0.2704,0.11804,0.81628,4.96766e-05,4.96766e-05,4.96766e-05
100,4174.8,0.26307,0.12197,0.7915,1,1,0.995,0.97382,0.27156,0.11901,0.81617,3.31733e-05,3.31733e-05,3.31733e-05
